il,bolge,kod,tel,nufus,alan
Adana,Akdeniz,1,322,1.849.478,17.253
Adıyaman,Güneydoğu,2,416,513.131,7.614
Afyonkarahisar,İç Anadolu,3,272,812.416,14.23
Ağrı,Doğu Anadolu,4,472,528.744,11.376
Aksaray,İç Anadolu,68,382,400.145,17.25
Amasya,Karadeniz,5,358,365.231,5.52
Ankara,İç Anadolu,6,312,4.007.860,30.715
Antalya,Akdeniz,7,242,1.726.205,20.815
Ardahan,Karadeniz,75,478,133.756,5.5760000000000005
Artvin,Karadeniz,8,466,191.934,7.436
Aydın,Ege,9,256,953.006,8.007
Balıkesir,Marmara,10,266,1.076.347,14.292
Bartın,Karadeniz,74,378,184.178,2.14
Batman,Güneydoğu,72,488,446.719,4.654
Bayburt,Karadeniz,69,458,97.358,3.6519999999999997
Bilecik,Marmara,11,228,194.326,4.3069999999999995
Bingöl,Güneydoğu,12,426,255.395,8.125
Bitlis,Güneydoğu,13,434,388.678,6.707000000000001
Bolu,Karadeniz,14,374,270.654,11.050999999999998
Burdur,Akdeniz,15,248,256.803,6.8870000000000005
Bursa,Marmara,16,224,2.106.687,11.043
Çanakkale,Ege,17,286,464.975,9.737
Çankırı,İç Anadolu,18,376,269.579,8.454
Çorum,İç Anadolu,19,364,597.065,12.82
Denizli,Ege,20,258,843.122,11.868
Diyarbakır,Güneydoğu,21,412,1.364.209,15.355
Düzce,Karadeniz,81,380,314.266,1.065
Edirne,Marmara,22,284,402.606,6.276
Elazığ,Doğu Anadolu,23,424,572.933,3.153
Erzincan,Doğu Anadolu,24,446,315.806,11.902999999999999
Erzurum,Doğu Anadolu,25,442,942.340,25.066
Eskişehir,İç Anadolu,26,222,706.009,13.652000000000001
Gaziantep,Güneydoğu,27,342,1.293.849,7.642
Giresun,Karadeniz,28,454,499.087,6.934
Gümüşhane,Karadeniz,29,456,186.953,10.227
Hakkari,Güneydoğu,30,438,235.841,9.521
Hatay,Güneydoğu,31,326,1.232.910,5.403
Iğdır,Doğu Anadolu,76,476,168.634,3.5389999999999997
Isparta,Akdeniz,32,246,514.379,8.933
İstanbul,Marmara,34,212-216,10.033.478,5.712000000000001
İzmir,Ege,35,232,3.387.908,11.972999999999999
Kahramanmaraş,Güneydoğu,46,344,1.008.069,14.327
Karabük,Karadeniz,78,372,225.102,1.376
Karaman,İç Anadolu,70,338,243.399,9.237
Kars,Doğu Anadolu,36,474,327.056,18.557000000000002
Kastamonu,Karadeniz,37,366,326.725,13.107999999999999
Kayseri,İç Anadolu,38,352,1.049.659,16.917
Kırıkkale,İç Anadolu,71,318,303.508,4.365
Kırklareli,Marmara,39,288,328.461,6.55
Kırşehir,İç Anadolu,40,386,253.239,6.57
Kilis,Doğu Anadolu,79,342,114.724,1.2429999999999999
Kocaeli,Marmara,41,262,1.203.335,3.6260000000000003
Konya,İç Anadolu,42,332,2.217.969,38.183
Kütahya,Ege,43,274,656.716,11.875
Malatya,Güneydoğu,44,422,853.658,12.312999999999999
Manisa,Ege,45,236,1.260.159,13.81
Mardin,Güneydoğu,47,482,705.098,12.76
Mersin,Akdeniz,33,324,1.668.007,15.853
Muğla,Ege,48,252,717.384,13.338
Muş,Güneydoğu,49,436,453.654,8.196
Nevşehir,İç Anadolu,50,384,309.914,5.4670000000000005
Niğde,İç Anadolu,51,388,348.081,14.294
Ordu,Karadeniz,52,452,887.765,6.001
Osmaniye,Akdeniz,80,328,463.196,974.0
Rize,Karadeniz,53,464,365.938,3.92
Sakarya,Marmara,54,264,746.060,4.817
Samsun,Karadeniz,55,362,1.203.681,9.579
Siirt,Güneydoğu,56,484,264.778,11.003
Sinop,Karadeniz,57,368,225.574,5.862
Sivas,Doğu Anadolu,58,346,752.828,28.488000000000003
Şanlıurfa,Güneydoğu,63,414,1.436.956,18.584
Şırnak,Güneydoğu,73,486,354.061,6.904
Tekirdağ,Marmara,59,282,626.549,6.218
Tokat,Karadeniz,60,356,828.027,9.958
Trabzon,Karadeniz,61,462,979.295,4.685
Tunceli,Doğu Anadolu,62,428,93.584,7.774
Uşak,Ege,64,276,322.654,5.341
Van,Doğu Anadolu,65,423,877.524,19.069000000000003
Yalova,Marmara,77,226,168.593,492.0
Yozgat,İç Anadolu,66,354,877.524,14.132
Zonguldak,Karadeniz,67,372,615.599,8.629
